Topic,Repos,Tag,Metrics,Value
MLops,kubeflow/kubeflow,v0.2.3-rc.0,Environment,1.75
MLops,kubeflow/kubeflow,v0.2.4,Permissions,11.93
MLops,kubeflow/kubeflow,v0.2.4,Filesystem,28.07
MLops,kubeflow/kubeflow,v0.2.4,Dependencies,35.09
MLops,kubeflow/kubeflow,v0.2.4,Build/Execute,23.16
MLops,kubeflow/kubeflow,v0.2.4,Environment,1.75
MLops,kubeflow/kubeflow,v0.2.4-rc.0,Permissions,11.93
MLops,kubeflow/kubeflow,v0.2.4-rc.0,Filesystem,28.07
MLops,kubeflow/kubeflow,v0.2.4-rc.0,Dependencies,35.09
MLops,kubeflow/kubeflow,v0.2.4-rc.0,Build/Execute,23.16
MLops,kubeflow/kubeflow,v0.2.4-rc.0,Environment,1.75
MLops,kubeflow/kubeflow,v0.2.5,Permissions,11.93
MLops,kubeflow/kubeflow,v0.2.5,Filesystem,28.07
MLops,kubeflow/kubeflow,v0.2.5,Dependencies,35.09
MLops,kubeflow/kubeflow,v0.2.5,Build/Execute,23.16
MLops,kubeflow/kubeflow,v0.2.5,Environment,1.75
MLops,kubeflow/kubeflow,4e7f4ed,Permissions,11.93
MLops,kubeflow/kubeflow,4e7f4ed,Filesystem,28.07
MLops,kubeflow/kubeflow,4e7f4ed,Dependencies,35.09
MLops,kubeflow/kubeflow,4e7f4ed,Build/Execute,23.16
MLops,kubeflow/kubeflow,4e7f4ed,Environment,1.75
MLops,kubeflow/kubeflow,v0.2.6,Permissions,11.93
MLops,kubeflow/kubeflow,v0.2.6,Filesystem,28.07
MLops,kubeflow/kubeflow,v0.2.6,Dependencies,35.09
MLops,kubeflow/kubeflow,v0.2.6,Build/Execute,23.16
MLops,kubeflow/kubeflow,v0.2.6,Environment,1.75
