Category,file_type,perc_number
MLOps/ AIOps,C/C++,3.6405
MLOps/ AIOps,C/C++,48.7602
MLOps/ AIOps,C/C++,4.7281
MLOps/ AIOps,C/C++,8.8262
MLOps/ AIOps,C/C++,11.6355
MLOps/ AIOps,C/C++,10.1803
MLOps/ AIOps,C/C++,10.9878
MLOps/ AIOps,C/C++,19.3543
MLOps/ AIOps,C/C++,11.3555
MLOps/ AIOps,C/C++,7.5136
MLOps/ AIOps,C/C++,11.4014
MLOps/ AIOps,C/C++,17.1263
MLOps/ AIOps,C/C++,9.25
MLOps/ AIOps,C/C++,10.5396
MLOps/ AIOps,C/C++,3.4598
MLOps/ AIOps,C/C++,30.3041
MLOps/ AIOps,C/C++,22.1383
MLOps/ AIOps,C/C++,10.6433
MLOps/ AIOps,C/C++,0.0422
MLOps/ AIOps,C/C++,5.2541
MLOps/ AIOps,C/C++,6.8178
MLOps/ AIOps,C/C++,17.983
MLOps/ AIOps,C/C++,0.5365
MLOps/ AIOps,C/C++,2.1863
MLOps/ AIOps,C/C++,12.2518
MLOps/ AIOps,C/C++,10.1319
MLOps/ AIOps,Julia,11.0126
MLOps/ AIOps,.ll,9.5717
MLOps/ AIOps,.ll,5.4818
MLOps/ AIOps,Goland,0.1082
MLOps/ AIOps,Goland,0.2822
MLOps/ AIOps,Goland,45.8234
MLOps/ AIOps,Goland,2.3035
MLOps/ AIOps,Goland,10.3938
MLOps/ AIOps,Goland,0.2008
MLOps/ AIOps,Goland,0.1882
MLOps/ AIOps,Goland,6.4078
MLOps/ AIOps,Goland,0.6627
MLOps/ AIOps,Goland,0.8077
MLOps/ AIOps,ELF/COFF,6.6468
MLOps/ AIOps,ELF/COFF,6.6764
MLOps/ AIOps,ELF/COFF,5.0424
MLOps/ AIOps,ELF/COFF,1.5578
MLOps/ AIOps,ELF/COFF,9.0244
MLOps/ AIOps,ELF/COFF,5.1441
MLOps/ AIOps,ELF/COFF,4.676
MLOps/ AIOps,ELF/COFF,4.2789
MLOps/ AIOps,ELF/COFF,5.7747
MLOps/ AIOps,ELF/COFF,1.5829
MLOps/ AIOps,ELF/COFF,3.3322
MLOps/ AIOps,ELF/COFF,1.2064
MLOps/ AIOps,ELF/COFF,3.9098
