Category,image,metrics,layer_size
MLOps/ AIOps,cortexlabs/activator,FLS,65.08
MLOps/ AIOps,cortexlabs/metrics-server,FLS,62.21
MLOps/ AIOps,cortexlabs/neuron-device-plugin,FLS,821.22
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,23.96
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,23.48
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,45.76
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,31.23
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,31.33
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,63.84
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,60.77
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,78.63
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,104.63
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,24.67
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,271.57
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,271.49
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,64.31
MLOps/ AIOps,cortexlabs/neuron-device-plugin,CLS,59.9
MLOps/ AIOps,rayproject/ray,FLS,31.27
MLOps/ AIOps,rayproject/ray-ml,FLS,32.81
MLOps/ AIOps,rayproject/ray-ml,CLS,4.97
MLOps/ AIOps,rayproject/ray-ml,CLS,8.61
MLOps/ AIOps,alluxio/alluxio,FLS,2.28
MLOps/ AIOps,alluxio/alluxio-fuse,FLS,2.27
MLOps/ AIOps,alluxio/alluxio-fuse,CLS,1.99
MLOps/ AIOps,alluxio/alluxio-fuse,CLS,1.18
MLOps/ AIOps,larribas/mlflow,FLS,856.71
MLOps/ AIOps,larribas/mlflow,CLS,290.64
MLOps/ AIOps,tensorflow/serving,FLS,36.51
MLOps/ AIOps,tensorflow/serving,CLS,10.75
MLOps/ AIOps,rootproject/root,FLS,2.65
MLOps/ AIOps,rootproject/root,CLS,571.14
MLOps/ AIOps,intelanalytics/bigdl,FLS,8.22
MLOps/ AIOps,intelanalytics/bigdl,CLS,2.83
MLOps/ AIOps,ufoym/deepo,FLS,24.58
MLOps/ AIOps,ufoym/deepo,CLS,8.21
MLOps/ AIOps,intelanalytics/analytics-zoo,FLS,7.19
MLOps/ AIOps,intelanalytics/analytics-zoo,CLS,4.04
MLOps/ AIOps,sqlflow/sqlflow,FLS,5.23
MLOps/ AIOps,sqlflow/sqlflow,CLS,2.13
MLOps/ AIOps,seldonio/seldon-core-operator,FLS,166.93
MLOps/ AIOps,seldonio/seldon-core-s2i-python3,FLS,2.95
MLOps/ AIOps,seldonio/seldon-core-s2i-python3,CLS,114.83
MLOps/ AIOps,seldonio/seldon-core-s2i-python3,CLS,530.99
MLOps/ AIOps,jolibrain/deepdetect_gpu,FLS,24.29
MLOps/ AIOps,jolibrain/deepdetect_gpu_torch,FLS,28.68
MLOps/ AIOps,jolibrain/deepdetect_cpu,FLS,6.98
MLOps/ AIOps,jolibrain/deepdetect_cpu_torch,FLS,7.77
MLOps/ AIOps,jolibrain/deepdetect_gpu_tensorrt,FLS,13.87
MLOps/ AIOps,jolibrain/deepdetect_gpu_tensorrt,CLS,1.65
MLOps/ AIOps,jolibrain/deepdetect_gpu_tensorrt,CLS,3.94
