Image,Name,Layers
vanvalenlab/deepcell-tf,docker.io/vanvalenlab/deepcell-tf,sha256:fe86d65f944283641483fed7861fd89b90e4f1f99725bbb69d3bbbf75a2028f0
vanvalenlab/deepcell-tf,docker.io/vanvalenlab/deepcell-tf,sha256:0d2af91416f587d1fbb2d81411dbd9b1a40eafc084ee4dba8f476605a6462c80
vanvalenlab/deepcell-tf,docker.io/vanvalenlab/deepcell-tf,sha256:b2926b68a7aa0ccae6ddded2d6cc361b3b8c8e7048e5cf47aa48c6c46512d6f7
vanvalenlab/deepcell-tf,docker.io/vanvalenlab/deepcell-tf,sha256:faf18adb6574f764f2bf9b80bca52a60121a95693f22325b240fb09b574ea888
vanvalenlab/deepcell-tf,docker.io/vanvalenlab/deepcell-tf,sha256:e5abad11e261f242625f52a018a2f62946bed30c1ccb7e1068831c7170ee6583
vanvalenlab/deepcell-tf,docker.io/vanvalenlab/deepcell-tf,sha256:54984526331d4b209d49aeb1a3937307fdeca59d86c7ab15355e7df1d5069025
vanvalenlab/deepcell-tf,docker.io/vanvalenlab/deepcell-tf,sha256:4dc2afa00871d7689f1d464de1f12bcdf3a655ca88d602c629ecaa306300f1ad
vanvalenlab/deepcell-tf,docker.io/vanvalenlab/deepcell-tf,sha256:d924e73de7b7cd561155c50c4681b22cc398861ec250451af2f4327a4b72429d
tnarik/malmo,docker.io/tnarik/malmo,sha256:6bbedd9b76a496816d86a0af731ea984f40467ef8fb23be752f801cb80436ac6
tnarik/malmo,docker.io/tnarik/malmo,sha256:fc19d60a83f11bbddc7bd2dfca6095b49100314bfde61d83729112a6b6e11d48
tnarik/malmo,docker.io/tnarik/malmo,sha256:de413bb911fd848383ef2e5068a42c258c898d6ee869fb441fb2391eb327b576
tnarik/malmo,docker.io/tnarik/malmo,sha256:2879a7ad31445fe2cea410b8ba76704003c11ee05c0a4d32d1113009ea1a1aae
tnarik/malmo,docker.io/tnarik/malmo,sha256:668604fde02e75dddb4b44c80d4ce20baaac4832c41c3a945f4a236cd7d2f164
tnarik/malmo,docker.io/tnarik/malmo,sha256:123d052a25ac4aca5d909b7041d43d08d154408dcd313f662df588aa7f08352a
tnarik/malmo,docker.io/tnarik/malmo,sha256:06ad5694759291bbe492b6c9393e47a8df58aafc660e6b3f947d038d700ebe8d
tnarik/malmo,docker.io/tnarik/malmo,sha256:e3f6de11bf69f657e1766c424a7a7565c9b6a10536bef01431abe00dc97b7a26
tnarik/malmo,docker.io/tnarik/malmo,sha256:ebcdf904aac4381abf33b143e2580ddc5ebcef74e3d7cfd94f9de9189a135de5
nvidia/digits,docker.io/nvidia/digits,sha256:99ad4e3ced4d361a0f042c611a6fe5295ed5364287276a96483b80ca85588041
nvidia/digits,docker.io/nvidia/digits,sha256:ec5a723f4e2aa55867633696e9763c27fce7b7a143e30b36571a5f9a3142022c
nvidia/digits,docker.io/nvidia/digits,sha256:2a175e11567c4a374dd86c53ab8744d9ba21046fbed1fea612d1d37ae0e24afa
nvidia/digits,docker.io/nvidia/digits,sha256:8d26426e95e04222aa7782fb871a3beeee110d03b312ed89b428e72c0b747b2c
nvidia/digits,docker.io/nvidia/digits,sha256:46e451596b7c64397d1d3c39cd6ea32a055f456fafaf3ce79a92725c9b47e404
nvidia/digits,docker.io/nvidia/digits,sha256:79f02f6ab0591ba52da7f09aa374779e957be1a11272bb171ac90cfbd4870980
nvidia/digits,docker.io/nvidia/digits,sha256:59d2eaa1372d8ac7f940e64fe0282a406ddc22a00b72226d2c237d53c18b2c60
nvidia/digits,docker.io/nvidia/digits,sha256:4421cd6e3c30c316f6459bf4530b969befc95af0217406c223d74c1fb48e8a27
nvidia/digits,docker.io/nvidia/digits,sha256:9a47758649e571634589e2e75302eaed1206e5180c9984171256ef5072e97a55
