Topic,Repos,Tag,TagID,Metrics,composition,total
model,alexandrainst/danlp,v.0.0.10,8,Environment,0.0,0
model,alexandrainst/danlp,v.0.0.10,8,Build/Execute,50.0,1
model,alexandrainst/danlp,v.0.0.10,8,Filesystem,0.0,0
model,alexandrainst/danlp,v0.0.11,9,Dependencies,50.0,1
model,alexandrainst/danlp,v0.0.11,9,Permissions,0.0,0
model,alexandrainst/danlp,v0.0.11,9,Environment,0.0,0
model,alexandrainst/danlp,v0.0.11,9,Build/Execute,50.0,1
model,alexandrainst/danlp,v0.0.11,9,Filesystem,0.0,0
model,alexandrainst/danlp,v0.0.12,10,Dependencies,50.0,1
model,alexandrainst/danlp,v0.0.12,10,Permissions,0.0,0
model,alexandrainst/danlp,v0.0.12,10,Environment,0.0,0
model,alexandrainst/danlp,v0.0.12,10,Build/Execute,50.0,1
model,alexandrainst/danlp,v0.0.12,10,Filesystem,0.0,0
model,alexandrainst/danlp,v0.1.0,11,Dependencies,50.0,1
model,alexandrainst/danlp,v0.1.0,11,Permissions,0.0,0
model,alexandrainst/danlp,v0.1.0,11,Environment,0.0,0
model,alexandrainst/danlp,v0.1.0,11,Build/Execute,50.0,1
model,alexandrainst/danlp,v0.1.0,11,Filesystem,0.0,0
model,alexandrainst/danlp,v0.1.1,12,Dependencies,50.0,1
model,alexandrainst/danlp,v0.1.1,12,Permissions,0.0,0
model,alexandrainst/danlp,v0.1.1,12,Environment,0.0,0
model,alexandrainst/danlp,v0.1.1,12,Build/Execute,50.0,1
model,alexandrainst/danlp,v0.1.1,12,Filesystem,0.0,0
